"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Brilliant III Ultra Fast SYBR GReen 2022-04-20 (1).rex"
"Date","20/04/2022"
"Time","12:25:52"

"Operator",""
"Run Id",""
"Notes",""
"Machine Serial No","0717122"

"Channel","Gain"
"Green","8"
"Yellow","10"

"Channel","Threshold"
"Cycling A.Green (hnRNP L_LC50-51)","0.1"
"Cycling A.Green (hnRNP L_NMD_LC47-52)","0.1"
"Cycling A.Green (TRA2B_LC54-42)","0.1"
"Cycling A.Green (TRA2B_NMD_LC43-55)","0.1"
"Melt A.Green (hnRNP L_LC50-51)","0"
"Melt A.Green (hnRNP L_NMD_LC47-52)","0"
"Melt A.Green (TRA2B_LC54-42)","0"
"Melt A.Green (TRA2B_NMD_LC43-55)","0"

"Quantitative analysis of Cycling A.Green (hnRNP L_LC50-51)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"2","14211288","NTC-GFP","","71.5","85.3","","","",""
"3","5855577","NTC-SMG5","","65.5","85.3","","","",""
"4","5855577","NTC-SMG5","","64.8","75.8","85.3","","",""
"5","11631955","SMG5-GFP","","68.5","74.2","85.5","","",""
"6","11631955","SMG5-GFP","","61.2","79.8","85.3","94.3","96.3",""
"7","8488180","SMG5-WT","","65.3","74.8","85.3","","",""
"8","8488180","SMG5-WT","","61.7","65.5","85.3","92.5","96.7",""
"9","14063796","SMG5-S3xA","","64.2","73.5","78.3","85.5","",""
"10","14063796","SMG5-S3xA","","63.0","74.0","85.5","94.5","",""
"11","6373706","RT- NTC-GFP","","64.2","73.5","77.8","84.8","90.5",""
"12","9517309","RT- NTC-SMG5","","73.2","78.0","85.0","91.5","",""
"13","10801479","RT- SMG5-GFP","","65.5","76.5","88.8","","",""
"14","14333609","RT- SMG5-WT","","63.2","71.0","80.2","86.0","91.7","97.0"
"15","4748311","RT- SMG5-S3xA","","85.7","","","","",""
"16","16711680","H2O","","66.8","75.7","","","",""



