"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Brilliant III Ultra Fast SYBR GReen 2022-04-20 (1).rex"
"Date","20/04/2022"
"Time","11:06:59"

"Operator",""
"Run Id",""
"Notes",""
"Machine Serial No","0717122"

"Channel","Gain"
"Green","8"
"Yellow","10"

"Channel","Threshold"
"Cycling A.Green (ActB_sre61-62)","0.1"
"Cycling A.Green (RP9P_om368-369)","0.1"
"Cycling A.Green (SMG5_sre237-238)","0.1"
"Cycling A.Green (SMG5endo_om507-508)","0.1"
"Melt A.Green (ActB_sre61-62)","0"
"Melt A.Green (RP9P_om368-369)","0"
"Melt A.Green (SMG5_sre237-238)","0"
"Melt A.Green (SMG5endo_om507-508)","0"

"Quantitative analysis of Cycling A.Green (ActB_sre61-62)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies/µL)","Calc Conc (Copies/µL)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"11","6373706","RT- NTC-GFP","","78.5","84.5","89.5","","","",""
"12","9517309","RT- NTC-SMG5","","66.0","74.3","81.5","85.8","92.2","",""
"13","10801479","RT- SMG5-GFP","","66.5","87.3","","","","",""
"14","14333609","RT- SMG5-WT","","73.8","83.2","87.3","","","",""
"15","4748311","RT- SMG5-S3xA","","74.0","83.5","87.7","94.2","","",""
"16","16711680","H2O","","74.0","86.7","","","","",""



"Melt analysis of Melt A.Green (SMG5endo_om507-508)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","14211288","NTC-GFP","","68.2","75.5","80.8","87.5","","",""
"2","14211288","NTC-GFP","","67.5","77.8","82.5","87.5","","",""
"3","5855577","NTC-SMG5","","68.5","73.5","83.2","87.5","","",""
"4","5855577","NTC-SMG5","","63.2","74.0","78.8","83.5","87.5","92.8",""
"5","11631955","SMG5-GFP","","62.2","67.5","73.8","82.3","83.0","87.5","96.0"
"6","11631955","SMG5-GFP","","83.3","87.5","","","","",""
"7","8488180","SMG5-WT","","66.5","80.8","83.2","87.5","","",""
"8","8488180","SMG5-WT","","66.7","71.5","81.3","83.2","87.5","",""
"9","14063796","SMG5-S3xA","","70.2","83.0","87.5","","","",""
"10","14063796","SMG5-S3xA","","63.5","67.5","72.5","77.0","82.8","87.5",""
"11","6373706","RT- NTC-GFP","","78.5","84.5","89.5","","","",""
"12","9517309","RT- NTC-SMG5","","66.0","74.3","81.5","85.8","92.2","",""
"13","10801479","RT- SMG5-GFP","","66.5","87.3","","","","",""
"14","14333609","RT- SMG5-WT","","73.8","83.2","87.3","","","",""
"15","4748311","RT- SMG5-S3xA","","74.0","83.5","87.7","94.2","","",""
"16","16711680","H2O","","74.0","86.7","","","","",""



